기준_년_분기_코드,상권_코드,상권_변화_지표,상권_변화_지표_명,운영_영업_개월_평균,폐업_영업_개월_평균,서울_운영_영업_개월_평균,서울_폐업_영업_개월_평균
2018_4,1000890,HL,상권축소,111,46,102,51
2018_4,1000889,HL,상권축소,108,45,102,51
2018_4,1000888,HL,상권축소,107,46,102,51
2018_4,1000887,LH,상권확장,90,56,102,51
2018_4,1000886,LL,다이나믹,83,41,102,51
2018_4,1000885,HL,상권축소,111,46,102,51
2018_4,1000884,LL,다이나믹,94,48,102,51
2018_4,1000883,LL,다이나믹,93,44,102,51
2018_4,1000882,HH,정체,109,53,102,51
2018_4,1000881,LL,다이나믹,86,46,102,51
2018_4,1000880,LL,다이나믹,89,47,102,51
2018_4,1000879,LL,다이나믹,82,47,102,51
2018_4,1000878,LL,다이나믹,97,50,102,51
2018_4,1000877,LL,다이나믹,94,45,102,51
2018_4,1000876,LL,다이나믹,99,48,102,51
2018_4,1000875,HL,상권축소,105,49,102,51
2018_4,1000874,HH,정체,147,65,102,51
2018_4,1000873,HH,정체,109,51,102,51
